Report Number,Date Reported,Date of Occurrence,Time of Occurrence,City,Crime Code,Crime Description,Victim Age,Victim Gender,Weapon Used,Crime Domain,Police Deployed,Case Closed,Date Case Closed
6783,10-10-2020 06:00,09-10-2020 14:00,10-10-2020 03:57,Delhi,323,Identity Theft,32,M,Blunt Object,Violent Crime,13,No,
6784,10-10-2020 18:00,09-10-2020 15:00,10-10-2020 13:21,Chennai,267,Homicide,59,F,Other,Other Crime,16,No,
6785,10-11-2020 11:00,09-10-2020 16:00,10-10-2020 14:54,Bangalore,158,Identity Theft,49,F,Explosives,Violent Crime,18,Yes,31-12-2020 11:00
6786,10-12-2020 12:00,09-10-2020 17:00,09-10-2020 22:43,Delhi,518,Burglary,18,F,Knife,Other Crime,7,Yes,24-03-2021 12:00
6787,10-12-2020 12:00,09-10-2020 18:00,09-10-2020 20:51,Chennai,304,Arson,57,M,None,Fire Accident,6,Yes,26-11-2020 12:00
6788,10-11-2020 17:00,09-10-2020 19:00,09-10-2020 19:53,Mumbai,108,Fraud,70,F,Poison,Other Crime,7,Yes,19-12-2020 17:00
6789,10-10-2020 02:00,09-10-2020 20:00,10-10-2020 00:48,Hyderabad,148,Firearm Offense,29,F,Other,Fire Accident,5,No,
6790,10-10-2020 03:00,09-10-2020 21:00,10-10-2020 16:07,Chennai,100,Public Intoxication,77,F,Firearm,Other Crime,6,No,
6791,10-10-2020 12:00,09-10-2020 22:00,10-10-2020 21:56,Nashik,361,Domestic Violence,34,F,Explosives,Violent Crime,17,Yes,29-12-2020 12:00
6792,10-10-2020 15:00,09-10-2020 23:00,10-10-2020 02:29,Hyderabad,284,Cybercrime,68,M,Blunt Object,Other Crime,6,Yes,17-12-2020 15:00
6793,10-12-2020 07:00,10-10-2020 00:00,10-10-2020 01:25,Delhi,536,Fraud,38,M,Knife,Other Crime,18,No,
6794,10-11-2020 01:00,10-10-2020 01:00,10-10-2020 15:44,Varanasi,467,Vandalism,10,F,Knife,Other Crime,1,No,
6795,10-12-2020 06:00,10-10-2020 02:00,10-10-2020 05:11,Bangalore,576,Sexual Assault,77,F,Knife,Violent Crime,10,Yes,23-10-2021 06:00
6796,10-12-2020 13:00,10-10-2020 03:00,10-10-2020 14:09,Bangalore,114,Domestic Violence,50,M,Explosives,Violent Crime,16,No,
6797,10-12-2020 04:00,10-10-2020 04:00,10-10-2020 07:22,Hyderabad,106,Shoplifting,60,F,Poison,Other Crime,15,No,
6798,10-11-2020 06:00,10-10-2020 05:00,10-10-2020 18:20,Hyderabad,172,Vehicle - Stolen,67,M,Blunt Object,Violent Crime,9,No,
6799,10-11-2020 20:00,10-10-2020 06:00,10-10-2020 08:11,Delhi,312,Assault,56,F,Firearm,Violent Crime,13,No,
6800,10-11-2020 11:00,10-10-2020 07:00,10-10-2020 12:27,Surat,343,Arson,77,M,Knife,Fire Accident,3,No,
6801,10-11-2020 20:00,10-10-2020 08:00,10-10-2020 12:39,Thane,473,Firearm Offense,44,F,Firearm,Fire Accident,17,No,
6802,10-11-2020 04:00,10-10-2020 09:00,10-10-2020 09:15,Mumbai,580,Burglary,13,F,Poison,Other Crime,1,No,
6803,10-12-2020 02:00,10-10-2020 10:00,10-10-2020 21:57,Srinagar,305,Vandalism,27,M,Explosives,Other Crime,13,Yes,11-04-2020 02:00
6804,10-12-2020 11:00,10-10-2020 11:00,11-10-2020 03:18,Bangalore,458,Illegal Possession,52,F,Blunt Object,Other Crime,9,Yes,11-08-2020 11:00
6805,10-11-2020 02:00,10-10-2020 12:00,10-10-2020 15:08,Kolkata,210,Sexual Assault,36,F,Blunt Object,Violent Crime,13,No,
6806,10-12-2020 13:00,10-10-2020 13:00,10-10-2020 22:36,Bhopal,593,Assault,22,F,None,Violent Crime,1,No,
6807,10-12-2020 23:00,10-10-2020 14:00,10-10-2020 23:07,Delhi,471,Public Intoxication,78,F,Explosives,Other Crime,13,Yes,23-10-2020 23:00
6808,10-11-2020 04:00,10-10-2020 15:00,11-10-2020 07:06,Kolkata,556,Homicide,70,F,Blunt Object,Other Crime,2,No,
6809,10-10-2020 18:00,10-10-2020 16:00,11-10-2020 01:42,Hyderabad,153,Sexual Assault,33,F,Knife,Violent Crime,9,Yes,01-08-2022 18:00
6810,10-11-2020 15:00,10-10-2020 17:00,10-10-2020 18:07,Lucknow,333,Counterfeiting,18,M,Blunt Object,Other Crime,3,Yes,11-12-2020 15:00
6811,10-12-2020 18:00,10-10-2020 18:00,11-10-2020 17:04,Hyderabad,262,Sexual Assault,74,F,Knife,Violent Crime,8,Yes,17-05-2022 18:00
6812,10-11-2020 15:00,10-10-2020 19:00,11-10-2020 15:42,Chennai,539,Arson,32,M,None,Fire Accident,10,No,
6813,10-12-2020 20:00,10-10-2020 20:00,11-10-2020 09:16,Chennai,474,Kidnapping,35,M,Poison,Other Crime,6,No,
6814,10-12-2020 13:00,10-10-2020 21:00,11-10-2020 17:40,Hyderabad,563,Burglary,23,F,Firearm,Other Crime,17,Yes,12-04-2020 13:00
6815,13-10-2020 03:00,10-10-2020 22:00,11-10-2020 11:29,Nagpur,568,Robbery,37,F,Firearm,Violent Crime,1,Yes,01-08-2021 03:00
6816,10-11-2020 16:00,10-10-2020 23:00,11-10-2020 16:27,Chennai,115,Cybercrime,78,F,Poison,Other Crime,6,Yes,20-11-2020 16:00
6817,10-11-2020 13:00,11-10-2020 00:00,11-10-2020 17:34,Mumbai,278,Vandalism,16,M,Blunt Object,Other Crime,2,No,
6818,13-10-2020 08:00,11-10-2020 01:00,11-10-2020 21:25,Nagpur,458,Illegal Possession,75,F,Knife,Other Crime,7,No,
6819,13-10-2020 03:00,11-10-2020 02:00,11-10-2020 15:25,Bangalore,459,Illegal Possession,58,M,Other,Other Crime,2,Yes,01-01-2021 03:00
6820,10-12-2020 11:00,11-10-2020 03:00,11-10-2020 04:46,Delhi,376,Identity Theft,14,F,Poison,Violent Crime,18,Yes,15-12-2020 11:00
6821,10-12-2020 02:00,11-10-2020 04:00,11-10-2020 12:54,Nashik,222,Firearm Offense,54,F,None,Fire Accident,14,No,
6822,10-12-2020 07:00,11-10-2020 05:00,11-10-2020 22:55,Kolkata,142,Identity Theft,25,F,Explosives,Violent Crime,1,No,
6823,10-11-2020 20:00,11-10-2020 06:00,11-10-2020 07:00,Delhi,102,Shoplifting,50,M,Other,Other Crime,10,No,
6824,14-10-2020 03:00,11-10-2020 07:00,11-10-2020 17:11,Patna,577,Cybercrime,51,M,Other,Other Crime,4,No,
6825,10-11-2020 16:00,11-10-2020 08:00,11-10-2020 17:59,Agra,367,Drug Offense,21,M,Other,Other Crime,2,No,
6826,13-10-2020 03:00,11-10-2020 09:00,11-10-2020 18:05,Bhopal,368,Public Intoxication,21,F,Knife,Other Crime,9,Yes,23-10-2020 03:00
6827,10-12-2020 18:00,11-10-2020 10:00,11-10-2020 16:22,Bangalore,160,Sexual Assault,72,F,Poison,Violent Crime,10,No,
6828,10-12-2020 05:00,11-10-2020 11:00,12-10-2020 01:44,Delhi,423,Arson,12,M,None,Fire Accident,17,Yes,01-03-2021 05:00
6829,10-11-2020 17:00,11-10-2020 12:00,11-10-2020 18:58,Surat,502,Assault,19,M,Firearm,Violent Crime,14,Yes,01-02-2021 17:00
6830,13-10-2020 04:00,11-10-2020 13:00,12-10-2020 01:36,Delhi,374,Counterfeiting,39,F,Poison,Other Crime,1,No,
6831,13-10-2020 19:00,11-10-2020 14:00,12-10-2020 01:01,Ludhiana,375,Firearm Offense,43,M,Knife,Fire Accident,10,No,
6832,10-12-2020 10:00,11-10-2020 15:00,11-10-2020 21:09,Lucknow,578,Identity Theft,61,F,Poison,Violent Crime,11,Yes,16-11-2020 10:00
6833,10-12-2020 12:00,11-10-2020 16:00,11-10-2020 19:30,Delhi,565,Homicide,18,F,Other,Other Crime,5,Yes,10-05-2021 12:00
6834,14-10-2020 10:00,11-10-2020 17:00,12-10-2020 09:50,Hyderabad,158,Burglary,34,F,Poison,Other Crime,6,No,
6835,14-10-2020 12:00,11-10-2020 18:00,12-10-2020 15:21,Mumbai,461,Sexual Assault,19,F,Explosives,Violent Crime,19,Yes,25-06-2022 12:00
6836,13-10-2020 19:00,11-10-2020 19:00,12-10-2020 17:04,Ghaziabad,285,Traffic Violation,63,F,Poison,Traffic Fatality,11,No,
6837,10-12-2020 17:00,11-10-2020 20:00,12-10-2020 04:30,Nagpur,494,Illegal Possession,32,F,Firearm,Other Crime,10,Yes,18-12-2020 17:00
6838,14-10-2020 09:00,11-10-2020 21:00,11-10-2020 21:10,Ahmedabad,576,Firearm Offense,49,F,None,Fire Accident,10,Yes,28-12-2020 09:00
6839,13-10-2020 16:00,11-10-2020 22:00,12-10-2020 21:37,Jaipur,239,Sexual Assault,25,M,Blunt Object,Violent Crime,14,No,
6840,13-10-2020 14:00,11-10-2020 23:00,12-10-2020 04:43,Delhi,316,Illegal Possession,20,M,Poison,Other Crime,4,No,
6841,13-10-2020 19:00,12-10-2020 00:00,12-10-2020 21:44,Ludhiana,150,Firearm Offense,35,F,Blunt Object,Fire Accident,9,No,
6842,10-12-2020 07:00,12-10-2020 01:00,12-10-2020 09:11,Ghaziabad,104,Traffic Violation,45,F,Firearm,Traffic Fatality,8,Yes,20-10-2020 07:00
6843,13-10-2020 23:00,12-10-2020 02:00,12-10-2020 04:27,Delhi,569,Robbery,59,F,Poison,Violent Crime,7,No,
6844,14-10-2020 10:00,12-10-2020 03:00,12-10-2020 09:50,Kalyan,515,Kidnapping,79,M,Other,Other Crime,1,Yes,11-11-2020 10:00
6845,13-10-2020 17:00,12-10-2020 04:00,12-10-2020 23:50,Delhi,222,Arson,60,F,Knife,Fire Accident,8,Yes,12-01-2020 17:00
6846,13-10-2020 09:00,12-10-2020 05:00,13-10-2020 01:29,Jaipur,519,Cybercrime,73,F,Poison,Other Crime,7,Yes,25-10-2020 09:00
6847,14-10-2020 12:00,12-10-2020 06:00,12-10-2020 20:12,Mumbai,113,Assault,31,F,None,Violent Crime,16,Yes,01-05-2021 12:00
6848,15-10-2020 06:00,12-10-2020 07:00,12-10-2020 09:18,Pune,308,Traffic Violation,14,M,Other,Traffic Fatality,5,No,
6849,13-10-2020 01:00,12-10-2020 08:00,13-10-2020 06:20,Surat,253,Traffic Violation,77,M,Explosives,Traffic Fatality,15,Yes,19-10-2020 01:00
6850,15-10-2020 00:00,12-10-2020 09:00,12-10-2020 17:57,Indore,216,Firearm Offense,50,M,Knife,Fire Accident,17,No,
6851,10-12-2020 12:00,12-10-2020 10:00,13-10-2020 05:09,Bangalore,366,Burglary,20,M,Explosives,Other Crime,15,No,
6852,14-10-2020 11:00,12-10-2020 11:00,12-10-2020 16:42,Nagpur,343,Assault,51,F,Knife,Violent Crime,2,No,
6853,10-12-2020 21:00,12-10-2020 12:00,13-10-2020 00:22,Bhopal,105,Identity Theft,75,F,Blunt Object,Violent Crime,12,No,
6854,14-10-2020 13:00,12-10-2020 13:00,13-10-2020 08:35,Hyderabad,359,Homicide,60,M,None,Other Crime,18,No,
6855,10-12-2020 16:00,12-10-2020 14:00,13-10-2020 02:13,Ahmedabad,452,Vandalism,70,F,Poison,Other Crime,11,No,
6856,14-10-2020 15:00,12-10-2020 15:00,12-10-2020 18:15,Hyderabad,338,Burglary,58,M,Knife,Other Crime,7,No,
6857,14-10-2020 15:00,12-10-2020 16:00,12-10-2020 20:29,Ludhiana,561,Firearm Offense,19,F,Poison,Fire Accident,4,Yes,15-12-2020 15:00
6858,15-10-2020 12:00,12-10-2020 17:00,13-10-2020 04:43,Delhi,144,Assault,78,M,Knife,Violent Crime,11,Yes,17-11-2020 12:00
6859,15-10-2020 08:00,12-10-2020 18:00,13-10-2020 12:13,Delhi,542,Homicide,44,F,Poison,Other Crime,16,Yes,06-05-2021 08:00
6860,13-10-2020 13:00,12-10-2020 19:00,13-10-2020 02:00,Kolkata,194,Homicide,66,M,Knife,Other Crime,3,No,
6861,15-10-2020 00:00,12-10-2020 20:00,12-10-2020 23:55,Jaipur,525,Illegal Possession,65,F,None,Other Crime,12,Yes,11-10-2020 00:00
6862,14-10-2020 17:00,12-10-2020 21:00,13-10-2020 04:57,Kalyan,589,Arson,64,F,Explosives,Fire Accident,1,Yes,25-12-2020 17:00
6863,13-10-2020 06:00,12-10-2020 22:00,12-10-2020 23:27,Delhi,128,Extortion,24,M,Firearm,Other Crime,18,No,
6864,15-10-2020 08:00,12-10-2020 23:00,13-10-2020 15:23,Faridabad,142,Illegal Possession,21,M,Explosives,Other Crime,16,Yes,11-09-2020 08:00
6865,15-10-2020 15:00,13-10-2020 00:00,13-10-2020 21:50,Delhi,311,Extortion,65,M,None,Other Crime,9,No,
6866,13-10-2020 14:00,13-10-2020 01:00,13-10-2020 04:10,Delhi,414,Firearm Offense,19,M,Firearm,Fire Accident,15,Yes,01-09-2021 14:00
6867,13-10-2020 21:00,13-10-2020 02:00,13-10-2020 17:25,Jaipur,224,Robbery,78,F,Other,Violent Crime,2,Yes,15-12-2020 21:00
6868,13-10-2020 05:00,13-10-2020 03:00,13-10-2020 10:43,Visakhapatnam,331,Homicide,66,F,None,Other Crime,16,Yes,15-03-2022 05:00
6869,15-10-2020 08:00,13-10-2020 04:00,13-10-2020 04:45,Visakhapatnam,394,Drug Offense,60,F,Blunt Object,Other Crime,3,Yes,25-11-2020 08:00
6870,15-10-2020 14:00,13-10-2020 05:00,13-10-2020 16:47,Visakhapatnam,101,Drug Offense,77,F,Blunt Object,Other Crime,4,Yes,12-07-2020 14:00
6871,15-10-2020 00:00,13-10-2020 06:00,13-10-2020 07:06,Chennai,174,Extortion,78,F,Knife,Other Crime,2,No,
6872,16-10-2020 02:00,13-10-2020 07:00,13-10-2020 08:39,Srinagar,387,Shoplifting,68,M,None,Other Crime,1,Yes,12-03-2020 02:00
6873,15-10-2020 16:00,13-10-2020 08:00,14-10-2020 01:05,Rajkot,320,Burglary,22,F,Firearm,Other Crime,16,No,
6874,16-10-2020 06:00,13-10-2020 09:00,13-10-2020 09:49,Hyderabad,432,Arson,14,F,Other,Fire Accident,6,Yes,13-11-2020 06:00
6875,15-10-2020 10:00,13-10-2020 10:00,13-10-2020 17:57,Hyderabad,303,Public Intoxication,16,F,Poison,Other Crime,18,Yes,11-12-2020 10:00
6876,15-10-2020 08:00,13-10-2020 11:00,13-10-2020 15:38,Bangalore,149,Extortion,72,F,None,Other Crime,16,Yes,11-12-2020 08:00
6877,13-10-2020 13:00,13-10-2020 12:00,14-10-2020 02:07,Faridabad,585,Domestic Violence,27,F,None,Violent Crime,17,No,
6878,13-10-2020 23:00,13-10-2020 13:00,13-10-2020 20:17,Bangalore,469,Drug Offense,51,M,None,Other Crime,9,Yes,01-04-2021 23:00
6879,14-10-2020 01:00,13-10-2020 14:00,13-10-2020 17:24,Mumbai,380,Homicide,50,F,Knife,Other Crime,5,Yes,13-12-2021 01:00
6880,14-10-2020 19:00,13-10-2020 15:00,13-10-2020 23:07,Ahmedabad,483,Kidnapping,41,F,Blunt Object,Other Crime,8,No,
6881,13-10-2020 21:00,13-10-2020 16:00,14-10-2020 05:31,Delhi,513,Illegal Possession,16,F,Blunt Object,Other Crime,12,Yes,12-06-2020 21:00
6882,15-10-2020 10:00,13-10-2020 17:00,14-10-2020 09:35,Bangalore,484,Homicide,14,M,Other,Other Crime,5,Yes,13-08-2022 10:00
6883,14-10-2020 07:00,13-10-2020 18:00,14-10-2020 11:30,Ghaziabad,588,Assault,18,F,None,Violent Crime,8,No,
6884,13-10-2020 23:00,13-10-2020 19:00,14-10-2020 00:40,Varanasi,545,Cybercrime,52,F,Firearm,Other Crime,12,Yes,26-11-2020 23:00
6885,14-10-2020 15:00,13-10-2020 20:00,14-10-2020 06:54,Delhi,562,Domestic Violence,58,F,Blunt Object,Violent Crime,7,Yes,28-11-2020 15:00
6886,14-10-2020 11:00,13-10-2020 21:00,14-10-2020 11:58,Delhi,283,Kidnapping,53,F,Knife,Other Crime,17,No,
6887,16-10-2020 19:00,13-10-2020 22:00,14-10-2020 18:16,Kalyan,575,Robbery,37,F,Knife,Violent Crime,3,No,
6888,16-10-2020 03:00,13-10-2020 23:00,14-10-2020 00:53,Patna,266,Arson,21,M,Firearm,Fire Accident,10,Yes,11-05-2020 03:00
6889,15-10-2020 15:00,14-10-2020 00:00,14-10-2020 12:25,Mumbai,447,Vandalism,62,F,Poison,Other Crime,18,Yes,11-10-2020 15:00
6890,14-10-2020 13:00,14-10-2020 01:00,14-10-2020 07:43,Mumbai,169,Illegal Possession,60,M,Other,Other Crime,9,Yes,22-11-2020 13:00
6891,16-10-2020 01:00,14-10-2020 02:00,14-10-2020 20:57,Chennai,464,Robbery,54,F,Other,Violent Crime,4,No,
6892,14-10-2020 22:00,14-10-2020 03:00,14-10-2020 04:25,Pune,186,Shoplifting,75,M,Blunt Object,Other Crime,3,No,
6893,15-10-2020 17:00,14-10-2020 04:00,15-10-2020 02:38,Kolkata,420,Homicide,10,F,Firearm,Other Crime,14,Yes,12-11-2021 17:00
6894,15-10-2020 21:00,14-10-2020 05:00,14-10-2020 13:31,Ahmedabad,209,Domestic Violence,22,F,Explosives,Violent Crime,19,No,
6895,16-10-2020 19:00,14-10-2020 06:00,15-10-2020 04:49,Mumbai,324,Extortion,35,F,Firearm,Other Crime,9,No,
6896,17-10-2020 04:00,14-10-2020 07:00,14-10-2020 13:04,Delhi,199,Arson,34,F,Firearm,Fire Accident,5,No,
6897,16-10-2020 03:00,14-10-2020 08:00,14-10-2020 23:55,Kanpur,488,Homicide,12,F,Firearm,Other Crime,12,Yes,05-02-2021 03:00
6898,14-10-2020 23:00,14-10-2020 09:00,15-10-2020 02:39,Kanpur,491,Traffic Violation,53,F,Knife,Traffic Fatality,16,No,
6899,16-10-2020 09:00,14-10-2020 10:00,14-10-2020 11:09,Kolkata,455,Illegal Possession,40,F,Blunt Object,Other Crime,4,Yes,20-11-2020 09:00
6900,17-10-2020 00:00,14-10-2020 11:00,15-10-2020 06:16,Indore,268,Robbery,33,F,Explosives,Violent Crime,7,No,
6901,15-10-2020 23:00,14-10-2020 12:00,14-10-2020 19:23,Kolkata,455,Vehicle - Stolen,68,F,Poison,Violent Crime,19,No,
6902,16-10-2020 13:00,14-10-2020 13:00,15-10-2020 07:19,Ghaziabad,401,Kidnapping,32,F,None,Other Crime,10,No,
6903,17-10-2020 06:00,14-10-2020 14:00,14-10-2020 16:47,Agra,361,Burglary,71,F,Firearm,Other Crime,14,Yes,21-03-2021 06:00
6904,17-10-2020 05:00,14-10-2020 15:00,14-10-2020 22:50,Delhi,233,Public Intoxication,10,M,None,Other Crime,1,No,
6905,16-10-2020 15:00,14-10-2020 16:00,15-10-2020 09:01,Lucknow,521,Counterfeiting,55,M,Knife,Other Crime,5,No,
6906,15-10-2020 22:00,14-10-2020 17:00,15-10-2020 10:15,Hyderabad,310,Vandalism,26,F,Explosives,Other Crime,17,Yes,28-10-2020 22:00
6907,15-10-2020 04:00,14-10-2020 18:00,15-10-2020 14:30,Chennai,529,Kidnapping,54,F,Blunt Object,Other Crime,6,Yes,12-07-2020 04:00
6908,16-10-2020 00:00,14-10-2020 19:00,15-10-2020 14:25,Bangalore,183,Burglary,41,M,Other,Other Crime,11,No,
6909,16-10-2020 15:00,14-10-2020 20:00,14-10-2020 20:55,Chennai,291,Illegal Possession,47,F,Explosives,Other Crime,12,No,
6910,16-10-2020 02:00,14-10-2020 21:00,15-10-2020 02:14,Hyderabad,300,Identity Theft,21,F,Explosives,Violent Crime,18,Yes,26-12-2020 02:00
6911,16-10-2020 06:00,14-10-2020 22:00,15-10-2020 12:30,Kanpur,480,Cybercrime,56,M,None,Other Crime,15,Yes,27-11-2020 06:00
6912,16-10-2020 12:00,14-10-2020 23:00,15-10-2020 12:26,Lucknow,387,Burglary,68,F,Blunt Object,Other Crime,17,Yes,02-12-2021 12:00
6913,17-10-2020 06:00,15-10-2020 00:00,15-10-2020 14:20,Lucknow,167,Extortion,76,F,Other,Other Crime,8,No,
6914,15-10-2020 21:00,15-10-2020 01:00,15-10-2020 02:48,Delhi,336,Assault,35,F,Poison,Violent Crime,10,Yes,20-11-2020 21:00
6915,15-10-2020 03:00,15-10-2020 02:00,15-10-2020 10:31,Lucknow,292,Burglary,68,F,Other,Other Crime,10,No,
6916,17-10-2020 06:00,15-10-2020 03:00,15-10-2020 12:33,Kolkata,350,Domestic Violence,20,F,None,Violent Crime,5,Yes,27-12-2020 06:00
6917,16-10-2020 17:00,15-10-2020 04:00,15-10-2020 19:01,Ghaziabad,402,Vehicle - Stolen,37,M,None,Violent Crime,7,No,
6918,15-10-2020 06:00,15-10-2020 05:00,16-10-2020 00:07,Varanasi,256,Drug Offense,76,F,Other,Other Crime,17,Yes,17-11-2020 06:00
6919,16-10-2020 12:00,15-10-2020 06:00,15-10-2020 08:04,Delhi,393,Burglary,53,F,Knife,Other Crime,8,No,
6920,18-10-2020 01:00,15-10-2020 07:00,16-10-2020 00:02,Vasai,284,Counterfeiting,54,M,Knife,Other Crime,18,Yes,11-08-2020 01:00
6921,15-10-2020 22:00,15-10-2020 08:00,15-10-2020 10:56,Lucknow,176,Burglary,74,M,None,Other Crime,15,No,
6922,18-10-2020 04:00,15-10-2020 09:00,16-10-2020 02:29,Agra,294,Homicide,17,F,Explosives,Other Crime,12,No,
6923,18-10-2020 09:00,15-10-2020 10:00,16-10-2020 05:56,Hyderabad,239,Domestic Violence,72,M,Blunt Object,Violent Crime,18,No,
6924,17-10-2020 18:00,15-10-2020 11:00,16-10-2020 06:30,Nagpur,407,Assault,19,M,Other,Violent Crime,4,Yes,01-10-2021 18:00
6925,18-10-2020 07:00,15-10-2020 12:00,15-10-2020 18:31,Indore,316,Sexual Assault,74,F,None,Violent Crime,3,Yes,08-01-2021 07:00
6926,17-10-2020 15:00,15-10-2020 13:00,16-10-2020 12:47,Chennai,595,Traffic Violation,50,M,None,Traffic Fatality,2,No,
6927,17-10-2020 18:00,15-10-2020 14:00,15-10-2020 19:34,Delhi,354,Public Intoxication,54,F,Blunt Object,Other Crime,10,No,
6928,16-10-2020 09:00,15-10-2020 15:00,16-10-2020 13:08,Chennai,316,Counterfeiting,71,F,Firearm,Other Crime,9,No,
6929,16-10-2020 19:00,15-10-2020 16:00,16-10-2020 06:17,Delhi,111,Fraud,51,F,Explosives,Other Crime,17,No,
6930,17-10-2020 18:00,15-10-2020 17:00,16-10-2020 04:07,Mumbai,312,Shoplifting,29,F,Poison,Other Crime,15,Yes,12-04-2020 18:00
6931,17-10-2020 05:00,15-10-2020 18:00,16-10-2020 06:42,Hyderabad,239,Identity Theft,26,F,Firearm,Violent Crime,9,No,
6932,18-10-2020 07:00,15-10-2020 19:00,16-10-2020 06:41,Mumbai,235,Kidnapping,55,F,Knife,Other Crime,6,Yes,01-08-2021 07:00
6933,18-10-2020 13:00,15-10-2020 20:00,16-10-2020 12:35,Kolkata,563,Assault,37,M,Other,Violent Crime,18,No,
6934,18-10-2020 15:00,15-10-2020 21:00,16-10-2020 01:08,Chennai,385,Arson,49,F,None,Fire Accident,2,Yes,01-01-2021 15:00
6935,16-10-2020 08:00,15-10-2020 22:00,16-10-2020 17:40,Mumbai,543,Vandalism,51,F,Poison,Other Crime,9,Yes,01-05-2021 08:00
6936,18-10-2020 21:00,15-10-2020 23:00,16-10-2020 10:38,Mumbai,187,Counterfeiting,53,F,Poison,Other Crime,5,No,
6937,16-10-2020 16:00,16-10-2020 00:00,16-10-2020 14:17,Bangalore,540,Vehicle - Stolen,36,F,Explosives,Violent Crime,7,No,
6938,17-10-2020 17:00,16-10-2020 01:00,16-10-2020 04:26,Mumbai,151,Homicide,65,F,Explosives,Other Crime,6,No,
6939,16-10-2020 17:00,16-10-2020 02:00,17-10-2020 00:39,Delhi,121,Vandalism,62,F,Blunt Object,Other Crime,9,Yes,30-11-2020 17:00
6940,18-10-2020 11:00,16-10-2020 03:00,16-10-2020 08:14,Mumbai,177,Counterfeiting,31,F,None,Other Crime,8,Yes,29-11-2020 11:00
6941,17-10-2020 05:00,16-10-2020 04:00,16-10-2020 09:58,Bhopal,250,Extortion,29,F,Other,Other Crime,12,No,
6942,18-10-2020 20:00,16-10-2020 05:00,17-10-2020 01:24,Pune,379,Domestic Violence,73,F,Firearm,Violent Crime,9,No,
6943,16-10-2020 14:00,16-10-2020 06:00,16-10-2020 08:46,Bangalore,471,Fraud,72,F,Explosives,Other Crime,19,No,
6944,16-10-2020 11:00,16-10-2020 07:00,16-10-2020 23:19,Kanpur,580,Homicide,45,F,None,Other Crime,3,Yes,30-06-2021 11:00
6945,19-10-2020 00:00,16-10-2020 08:00,16-10-2020 17:22,Mumbai,562,Drug Offense,79,M,Knife,Other Crime,15,No,
6946,17-10-2020 21:00,16-10-2020 09:00,16-10-2020 19:03,Agra,105,Traffic Violation,67,F,Firearm,Traffic Fatality,8,Yes,11-08-2020 21:00
6947,18-10-2020 17:00,16-10-2020 10:00,17-10-2020 09:10,Ghaziabad,170,Extortion,40,M,Firearm,Other Crime,11,No,
6948,18-10-2020 14:00,16-10-2020 11:00,17-10-2020 07:21,Delhi,447,Firearm Offense,78,M,Knife,Fire Accident,3,Yes,18-11-2020 14:00
6949,18-10-2020 13:00,16-10-2020 12:00,16-10-2020 19:37,Delhi,207,Identity Theft,53,M,Knife,Violent Crime,12,No,
6950,18-10-2020 12:00,16-10-2020 13:00,17-10-2020 07:10,Bhopal,284,Vandalism,64,M,Explosives,Other Crime,13,No,
6951,16-10-2020 18:00,16-10-2020 14:00,17-10-2020 00:09,Kolkata,366,Burglary,53,M,Explosives,Other Crime,13,Yes,03-10-2021 18:00
6952,17-10-2020 04:00,16-10-2020 15:00,16-10-2020 19:14,Srinagar,150,Vehicle - Stolen,15,F,Other,Violent Crime,7,No,
6953,19-10-2020 03:00,16-10-2020 16:00,17-10-2020 02:49,Nagpur,470,Robbery,53,F,Other,Violent Crime,16,Yes,04-06-2021 03:00
6954,18-10-2020 22:00,16-10-2020 17:00,17-10-2020 12:21,Mumbai,561,Cybercrime,46,F,Other,Other Crime,17,Yes,14-12-2020 22:00
6955,17-10-2020 14:00,16-10-2020 18:00,16-10-2020 18:39,Delhi,382,Robbery,37,F,Poison,Violent Crime,14,Yes,16-01-2021 14:00
6956,17-10-2020 05:00,16-10-2020 19:00,17-10-2020 02:34,Mumbai,559,Assault,16,F,None,Violent Crime,4,No,
6957,18-10-2020 11:00,16-10-2020 20:00,16-10-2020 21:13,Mumbai,298,Vehicle - Stolen,42,M,Other,Violent Crime,19,Yes,17-11-2020 11:00
6958,19-10-2020 11:00,16-10-2020 21:00,17-10-2020 13:56,Bangalore,404,Vehicle - Stolen,47,F,None,Violent Crime,16,Yes,29-10-2020 11:00
6959,18-10-2020 01:00,16-10-2020 22:00,17-10-2020 06:23,Mumbai,475,Assault,39,M,Explosives,Violent Crime,14,Yes,11-03-2020 01:00
6960,19-10-2020 05:00,16-10-2020 23:00,17-10-2020 09:52,Mumbai,186,Arson,37,F,Poison,Fire Accident,10,Yes,11-08-2020 05:00
6961,18-10-2020 23:00,17-10-2020 00:00,17-10-2020 05:43,Jaipur,437,Identity Theft,39,M,Poison,Violent Crime,11,Yes,11-06-2020 23:00
6962,19-10-2020 17:00,17-10-2020 01:00,18-10-2020 00:46,Bangalore,187,Burglary,25,F,Other,Other Crime,8,No,
6963,19-10-2020 04:00,17-10-2020 02:00,17-10-2020 19:36,Lucknow,330,Assault,66,F,Explosives,Violent Crime,18,No,
6964,18-10-2020 00:00,17-10-2020 03:00,17-10-2020 09:07,Ahmedabad,281,Robbery,47,M,Other,Violent Crime,8,Yes,23-02-2021 00:00
6965,18-10-2020 05:00,17-10-2020 04:00,17-10-2020 17:15,Mumbai,398,Traffic Violation,43,M,Other,Traffic Fatality,3,No,
